english	localized	language
a	체감온도	ko
access	접근	ko
ack	ack	ko
activate	활성화	ko
active	활성	ko
add	추가	ko
addend	addend	ko
addr	addr	ko
addralign	addralign	ko
address	주소	ko
advanced	고급	ko
af	af	ko
after	이후	ko
align	정렬	ko
aligned	정렬	ko
alignment	정렬	ko
all	모두	ko
alloc	할당	ko
allocate	할당	ko
allocated	할당됨	ko
am	am	ko
amd	amd	ko
amount	양	ko
and	그리고	ko
append	append	ko
args	args	ko
argument	인자	ko
arguments	인자들	ko
arp	주소결정규약	ko
arp콘솔	arp콘솔	ko
array	배열	ko
assembly	어셈블리	ko
at	at	ko
ata	ata	ko
atime	atime	ko
attachment	attachment	ko
attempts	attempts	ko
attr	attr	ko
attribute	속성	ko
attributes	attributes	ko
aux	aux	ko
avail	avail	ko
available	사용가능	ko
b	b	ko
ba	ba	ko
back	되돌림	ko
backend	후단부	ko
backup	예비	ko
bar	줄	ko
base	기준	ko
be	be	ko
bh	bh	ko
big	big	ko
bind	결합	ko
bios	bios	ko
bit	비트	ko
bitmap	bitmap	ko
bitmasp	bitmasp	ko
bits	비트들	ko
blksize	blksize	ko
block	블록	ko
blocked	차단됨	ko
blocking	차단	ko
blocks	블록들	ko
boot	시작	ko
bootable	bootable	ko
bootloader	bootloader	ko
bound	결합됨	ko
bpb	bpb	ko
break	중단	ko
brk	brk	ko
broadcast	전체전송	ko
buf	buf	ko
buffer	임시공간	ko
buffers	버퍼	ko
bufptr	bufptr	ko
bus	버스	ko
button	단추	ko
buttons	단추들	ko
by	by	ko
byte	바이트	ko
bytes	바이트	ko
c	운량	ko
cache	임시저장	ko
call	호출	ko
candidate	후보	ko
cap	cap	ko
capable	가능	ko
card	카드	ko
central	중앙	ko
char	문자	ko
chdir	chdir	ko
check	확인	ko
checked	확인됨	ko
checksum	검사합	ko
child	자식	ko
chunk	조각	ko
class	분류	ko
clear	지우기	ko
cloexec	cloexec	ko
clone	복제	ko
close	닫기	ko
cluster	묶음	ko
cmp	cmp	ko
code	코드	ko
col	col	ko
color	색상	ko
colordepth	colordepth	ko
command	명령	ko
commandport	commandport	ko
common	공용체	ko
component	구성요소	ko
connect	연결	ko
connected	연결됨	ko
console	단말	ko
constant	상수	ko
contains	포함	ko
contents	내용	ko
control	제어	ko
controller	제어기	ko
coordinate	좌표	ko
copies	copies	ko
copy	복사	ko
count	개수	ko
cow	쓰기시복사	ko
cpu	중앙처리장치	ko
cpustate	cpustate	ko
cpy	cpy	ko
cr	제어레지스터	ko
creat	creat	ko
create	생성	ko
crtc	crtc	ko
cs	cs	ko
ctime	ctime	ko
cur	cur	ko
current	현재	ko
cursor	커서	ko
cylinder	cylinder	ko
d	이슬점	ko
data	자료	ko
databuffer	databuffer	ko
datagram	자료단위	ko
dataport	dataport	ko
date	날짜	ko
deactivate	비활성화	ko
deactive	deactive	ko
debug	추적	ko
decrement	decrement	ko
default	기본	ko
delete	삭제	ko
delta	차이	ko
depth	심도	ko
desc	desc	ko
descr	descr	ko
description	설명	ko
descriptor	서술자	ko
descriptors	descriptors	ko
descsz	descsz	ko
destination	목적지	ko
destroy	제거	ko
dev	dev	ko
device	장치	ko
diff	diff	ko
digits	숫자들	ko
dir	dir	ko
directory	목록	ko
dirent	dirent	ko
disable	비활성화	ko
discard	버리기	ko
disconnect	연결해제	ko
dispatch	배분	ko
divide	나누기	ko
divisor	divisor	ko
do	do	ko
domain	영역	ko
double	두배	ko
down	누름	ko
draw	그리기	ko
drive	구동기	ko
driver	구동장치	ko
drivercount	drivercount	ko
drivers	drivers	ko
drv	drv	ko
ds	ds	ko
dst	dst	ko
dstptr	dstptr	ko
dup	dup	ko
dword	더블워드	ko
dyn	dyn	ko
dynamic	동적	ko
e	동	ko
eacces	eacces	ko
eaddrinuse	eaddrinuse	ko
eafnosupport	eafnosupport	ko
eagain	eagain	ko
eax	eax	ko
ebadf	ebadf	ko
ebp	ebp	ko
ebusy	ebusy	ko
ebx	ebx	ko
echild	echild	ko
echo	반향	ko
ecx	ecx	ko
edi	edi	ko
edx	edx	ko
eexist	eexist	ko
ef	ef	ko
efault	efault	ko
efbig	efbig	ko
eflags	eflags	ko
ehsize	ehsize	ko
eintr	eintr	ko
einval	einval	ko
eio	eio	ko
eip	eip	ko
eisdir	eisdir	ko
elf	실행파일형식	ko
emfile	emfile	ko
empty	비어있음	ko
emsgsize	emsgsize	ko
enable	활성화	ko
enabled	활성됨	ko
end	끝	ko
enetunreach	enetunreach	ko
enfile	enfile	ko
enodev	enodev	ko
enoent	enoent	ko
enoexec	enoexec	ko
enomem	enomem	ko
enospc	enospc	ko
enosys	enosys	ko
enotconn	enotconn	ko
enotdir	enotdir	ko
enotty	enotty	ko
ensure	보장	ko
entries	항목들	ko
entry	항목	ko
entrypoint	entrypoint	ko
entsize	entsize	ko
environment	환경	ko
eopnotsupp	eopnotsupp	ko
eperm	eperm	ko
ephemeral	ephemeral	ko
eprotonosupport	eprotonosupport	ko
equal	같음	ko
erange	erange	ko
erofs	erofs	ko
err	오류	ko
error	오류	ko
errorln	errorln	ko
es	es	ko
esi	esi	ko
esp	확장스택포인터	ko
espipe	espipe	ko
esrch	esrch	ko
ether	ether	ko
etherframe	etherframe	ko
ethernet	이더넷	ko
event	사건	ko
events	사건들	ko
exceeded	exceeded	ko
except	except	ko
exception	예외	ko
exec	실행	ko
execute	실행	ko
execve	execve	ko
exists	exists	ko
exit	끝내기	ko
exited	끝났음	ko
ext	ext	ko
extended	확장	ko
f	안개	ko
failed	실패	ko
failure	실패	ko
family	family	ko
fat	파일할당표	ko
fatal	fatal	ko
fatbuf	fatbuf	ko
fatbuffer	fatbuffer	ko
fault	결함	ko
fb	fb	ko
fcntl	fcntl	ko
fd	파일서술자	ko
fds	fds	ko
field	필드	ko
file	파일	ko
filename	파일이름	ko
files	files	ko
filesz	filesz	ko
fill	fill	ko
find	찾기	ko
first	first	ko
fl	fl	ko
flag	표시값	ko
flags	표시값들	ko
floating	띄우기	ko
flush	flush	ko
fn	fn	ko
focus	창활성방법	ko
focussable	focussable	ko
foo	foo	ko
for	for	ko
forced	forced	ko
fork	fork	ko
found	found	ko
fp	fp	ko
fpu	fpu	ko
frame	프레임	ko
free	해제	ko
frequency	주기	ko
from	from	ko
front	전방	ko
fs	fs	ko
fstat	fstat	ko
fsync	fsync	ko
fuction	fuction	ko
full	완전히	ko
func	func	ko
function	함수	ko
functions	함수	ko
fxrstor	fxrstor	ko
fxsave	fxsave	ko
g	g	ko
gate	관문	ko
gateway	관문	ko
gb	gb	ko
gdt	전역서술자표	ko
get	가져오기	ko
getcwd	getcwd	ko
getegid	getegid	ko
geteuid	geteuid	ko
getgid	getgid	ko
getpid	getpid	ko
getppid	getppid	ko
getuid	getuid	ko
gid	gid	ko
global	전역	ko
got	got	ko
gpf	gpf	ko
gran	gran	ko
graphics	그래픽	ko
grub	grub	ko
gs	gs	ko
h	시	ko
halt	halt	ko
handle	처리	ko
handler	처리기	ko
handlers	handlers	ko
hardware	하드웨어	ko
has	has	ko
hd	hd	ko
head	head	ko
header	머리부	ko
headertype	headertype	ko
heap	동적기억공간	ko
height	높이	ko
helper	helper	ko
hex	16진수	ko
hex출력	hex출력	ko
hi	hi	ko
hidden	숨김	ko
high	높음	ko
hop	중계	ko
i	i	ko
icmp	인터넷제어메시지규약	ko
icmp콘솔	icmp콘솔	ko
id	식별자	ko
ident	ident	ko
identify	identify	ko
idt	개입중단서술자표	ko
idx	idx	ko
ifchr	ifchr	ko
ifdir	ifdir	ko
ifmt	ifmt	ko
ifreg	ifreg	ko
ifsock	ifsock	ko
