compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	اندراج_کی_سطر_کی_گنجائش	project-proposal
MAX_ARGUMENT_COUNT	دلائل_کی_زیادہ_سے_زیادہ_تعداد	project-proposal
MAX_SCRIPT_DEPTH	احکامات_کی_فائلوں_کی_زیادہ_سے_زیادہ_تہیں	project-proposal
argument_count	دلائل_کی_تعداد	project-proposal
arguments	دلائل	project-proposal
buffer	منتقلی_کا_عارضی_ذخیرہ_2	project-proposal
bytes_read	پڑھے_گئے_بائٹ	project-proposal
bytes_written	لکھے_گئے_بائٹ_کی_تعداد	project-proposal
capacity	گنجائش	project-proposal
character	حرف	project-proposal
child_pid	ذیلی_عمل_کی_شناخت	project-proposal
cleanup	مواصلاتی_سرے_بند_کرنا	project-proposal
command	حکم	project-proposal
command_aliases	احکامات_کے_مقامی_نام	project-proposal
command_cat	فائل_کا_مواد_دکھانا	project-proposal
command_echo	دلائل_دکھانا	project-proposal
command_matches	حکم_ملتا_ہے	project-proposal
command_names	بنیادی_احکامات	project-proposal
command_pid	عمل_کی_شناخت_دکھانا	project-proposal
command_pwd	موجودہ_فہرست_دکھانا	project-proposal
command_run	پروگرام_چلانا	project-proposal
command_source	احکامات_کی_فائل_کی_تشریح_کرنا	project-proposal
command_stat	فائل_کی_معلومات_دکھانا	project-proposal
command_udp	آزاد_پیغام_کی_واپسی_جانچنا	project-proposal
command_uname	نظام_کی_شناخت_دکھانا	project-proposal
current	موجودہ_مقام	project-proposal
digit_text	ہندسوں_کے_حروف	project-proposal
file_descriptor	فائل_کا_وصف_کنندہ_2	project-proposal
file_name	فائل_کا_نام	project-proposal
input	اندراج	project-proposal
input_descriptor	اندراج_کا_وصف_کنندہ	project-proposal
input_line	اندراج_کی_سطر	project-proposal
input_stream	اندراج_کا_بہاؤ	project-proposal
left	بایاں	project-proposal
length	لمبائی	project-proposal
message	پیغام	project-proposal
message_length	پیغام_کی_بائٹ_لمبائی	project-proposal
name	نظام_کی_شناخت	project-proposal
number	بغیر_علامت_مقدار	project-proposal
operation	عمل	project-proposal
output	اخراج_کا_مقام	project-proposal
overflow	غلط_اندراج_کی_سطر	project-proposal
path	راستہ	project-proposal
position	مقام	project-proposal
print_help	مدد_دکھانا	project-proposal
quote	اقتباس_کی_علامت	project-proposal
read_line	اندراج_کی_سطر_پڑھنا	project-proposal
receive_address	وصول_کنندہ_کا_پتہ	project-proposal
receive_socket	وصولی_کا_مواصلاتی_سرا	project-proposal
received_data	موصولہ_مواد	project-proposal
received_length	موصولہ_بائٹ_کی_تعداد	project-proposal
right	دایاں	project-proposal
run_input	اندراج_کی_تشریح_کرنا	project-proposal
script_depth	احکامات_کی_فائلوں_کی_تہہ_کی_گہرائی	project-proposal
send_socket	ترسیل_کا_مواصلاتی_سرا	project-proposal
size	ہندسوں_کی_تعداد	project-proposal
source_address	بھیجنے_والے_کا_پتہ	project-proposal
source_address_length	بھیجنے_والے_کے_پتے_کی_لمبائی	project-proposal
split_arguments	دلائل_الگ_کرنا	project-proposal
status	حالت	project-proposal
text	متن	project-proposal
text_equal	متن_برابر_ہیں	project-proposal
text_length	متن_کی_بائٹ_لمبائی	project-proposal
value	قدر	project-proposal
wait_status	ذیلی_عمل_کے_اختتام_کی_حالت	project-proposal
write_error	خرابی_بتانا	project-proposal
write_integer	صحیح_عدد_لکھنا	project-proposal
write_text	متن_لکھنا	project-proposal
