english	localized	language
a	մի	hy
access	մուտք	hy
ack	ack	hy
activate	Ակտիվացնել	hy
active	Ակտիվ	hy
add	Ավելացնել	hy
addend	addend	hy
addr	addr	hy
addralign	addralign	hy
address	address	hy
advanced	Ընդլայնված	hy
af	af	hy
after	after	hy
align	Հավասարեցնել	hy
aligned	aligned	hy
alignment	alignment	hy
all	Բոլորը	hy
alloc	alloc	hy
allocate	allocate	hy
allocated	allocated	hy
am	am	hy
amd	amd	hy
amount	Քանակ	hy
and	and	hy
append	append	hy
args	args	hy
argument	argument	hy
arguments	arguments	hy
arp	arp	hy
arp콘솔	arp콘솔	hy
array	Զանգված	hy
assembly	assembly	hy
at	at	hy
ata	ata	hy
atime	atime	hy
attachment	attachment	hy
attempts	attempts	hy
attr	attr	hy
attribute	ատրիբուտ	hy
attributes	attributes	hy
aux	aux	hy
avail	avail	hy
available	Հասանելի	hy
b	b	hy
ba	ba	hy
back	Հետ	hy
backend	backend	hy
backup	backup	hy
bar	Գծիկ	hy
base	base	hy
be	be	hy
bh	bh	hy
big	big	hy
bind	bind	hy
bios	bios	hy
bit	bit	hy
bitmap	bitmap	hy
bitmasp	bitmasp	hy
bits	բիթեր	hy
blksize	blksize	hy
block	Արգելափակել	hy
blocked	blocked	hy
blocking	blocking	hy
blocks	blocks	hy
boot	boot	hy
bootable	bootable	hy
bootloader	bootloader	hy
bound	bound	hy
bpb	bpb	hy
break	break	hy
brk	brk	hy
broadcast	broadcast	hy
buf	buf	hy
buffer	buffer	hy
buffers	Բուֆերներ	hy
bufptr	bufptr	hy
bus	bus	hy
button	button	hy
buttons	buttons	hy
by	by	hy
byte	byte	hy
bytes	Բայթեր	hy
c	c	hy
cache	cache	hy
call	call	hy
candidate	candidate	hy
cap	cap	hy
capable	capable	hy
card	card	hy
central	central	hy
char	char	hy
chdir	chdir	hy
check	check	hy
checked	checked	hy
checksum	checksum	hy
child	երեխա	hy
chunk	chunk	hy
class	Կարգ	hy
clear	Ջնջել	hy
cloexec	cloexec	hy
clone	clone	hy
close	Փակել	hy
cluster	cluster	hy
cmp	cmp	hy
code	code	hy
col	col	hy
color	Գույն	hy
colordepth	colordepth	hy
command	Հրահանգ	hy
commandport	commandport	hy
common	common	hy
component	component	hy
connect	Միացնել	hy
connected	connected	hy
console	console	hy
constant	constant	hy
contains	contains	hy
contents	Բովանդակություն	hy
control	control	hy
controller	controller	hy
coordinate	coordinate	hy
copies	copies	hy
copy	Պատճենել	hy
count	count	hy
cow	cow	hy
cpu	ԿՄՀ	hy
cpustate	cpustate	hy
cpy	cpy	hy
cr	cr	hy
creat	creat	hy
create	create	hy
crtc	crtc	hy
cs	cs	hy
ctime	ctime	hy
cur	cur	hy
current	current	hy
cursor	cursor	hy
cylinder	cylinder	hy
d	d	hy
data	data	hy
databuffer	databuffer	hy
datagram	datagram	hy
dataport	dataport	hy
date	date	hy
deactivate	Ապաակտիվացնել	hy
deactive	deactive	hy
debug	debug	hy
decrement	decrement	hy
default	Հիմնական	hy
delete	Հեռացնել	hy
delta	delta	hy
depth	depth	hy
desc	desc	hy
descr	descr	hy
description	Նկարագրություն	hy
descriptor	descriptor	hy
descriptors	descriptors	hy
descsz	descsz	hy
destination	destination	hy
destroy	destroy	hy
dev	dev	hy
device	Սարք	hy
diff	diff	hy
digits	digits	hy
dir	dir	hy
directory	ֆայլապանակ	hy
dirent	dirent	hy
disable	disable	hy
discard	discard	hy
disconnect	Անջատել	hy
dispatch	dispatch	hy
divide	divide	hy
divisor	divisor	hy
do	do	hy
domain	domain	hy
double	double	hy
down	Ներքև	hy
draw	draw	hy
drive	drive	hy
driver	driver	hy
drivercount	drivercount	hy
drivers	drivers	hy
drv	drv	hy
ds	ds	hy
dst	dst	hy
dstptr	dstptr	hy
dup	dup	hy
dword	dword	hy
dyn	dyn	hy
dynamic	dynamic	hy
e	e	hy
eacces	eacces	hy
eaddrinuse	eaddrinuse	hy
eafnosupport	eafnosupport	hy
eagain	eagain	hy
eax	eax	hy
ebadf	ebadf	hy
