english	localized	language
a	体感	ja
access	アクセス	ja
ack	ack	ja
activate	有効にする	ja
active	有効	ja
add	追加	ja
addend	addend	ja
addr	addr	ja
addralign	addralign	ja
address	address	ja
advanced	詳細	ja
af	af	ja
after	後	ja
align	整列	ja
aligned	aligned	ja
alignment	alignment	ja
all	すべて	ja
alloc	alloc	ja
allocate	allocate	ja
allocated	allocated	ja
am	am	ja
amd	amd	ja
amount	株数	ja
and	と	ja
append	append	ja
args	args	ja
argument	argument	ja
arguments	引数	ja
arp	arp	ja
arp콘솔	arp콘솔	ja
array	配列	ja
assembly	アセンブリ	ja
at	at	ja
ata	ata	ja
atime	atime	ja
attachment	attachment	ja
attempts	attempts	ja
attr	attr	ja
attribute	属性	ja
attributes	属性	ja
aux	aux	ja
avail	avail	ja
available	使用可能	ja
b	b	ja
ba	ba	ja
back	戻る	ja
backend	backend	ja
backup	backup	ja
bar	バー	ja
base	base	ja
be	be	ja
bh	bh	ja
big	big	ja
bind	バインド	ja
bios	bios	ja
bit	bit	ja
bitmap	bitmap	ja
bitmasp	bitmasp	ja
bits	ビット	ja
blksize	blksize	ja
block	ブロック	ja
blocked	blocked	ja
blocking	blocking	ja
blocks	ブロック	ja
boot	boot	ja
bootable	bootable	ja
bootloader	bootloader	ja
bound	bound	ja
bpb	bpb	ja
break	break	ja
brk	brk	ja
broadcast	broadcast	ja
buf	buf	ja
buffer	buffer	ja
buffers	バッファ	ja
bufptr	bufptr	ja
bus	bus	ja
button	ボタン	ja
buttons	ボタン	ja
by	by	ja
byte	バイト	ja
bytes	バイト	ja
c	摂氏	ja
cache	cache	ja
call	呼出し	ja
candidate	candidate	ja
cap	cap	ja
capable	capable	ja
card	カードゲーム	ja
central	セントラル	ja
char	char	ja
chdir	chdir	ja
check	check	ja
checked	checked	ja
checksum	checksum	ja
child	child	ja
chunk	chunk	ja
class	クラス	ja
clear	クリア	ja
cloexec	cloexec	ja
clone	clone	ja
close	閉じる	ja
cluster	cluster	ja
cmp	cmp	ja
code	code	ja
col	col	ja
color	色	ja
colordepth	colordepth	ja
command	コマンド	ja
commandport	commandport	ja
common	共通	ja
component	component	ja
connect	接続	ja
