english	localized	language
a	a	es
access	acceso	es
ack	ack	es
activate	Activar	es
active	Activo	es
add	Añadir	es
addend	addend	es
addr	addr	es
addralign	addralign	es
address	Dirección	es
advanced	Avanzado	es
af	af	es
after	Después	es
align	Alinear	es
aligned	aligned	es
alignment	alignment	es
all	Todo	es
alloc	alloc	es
allocate	allocate	es
allocated	allocated	es
am	am	es
amd	amd	es
amount	Cantidad	es
and	y	es
append	append	es
args	args	es
argument	argument	es
arguments	Argumentos	es
arp	arp	es
arp콘솔	arp콘솔	es
array	matriz	es
assembly	ensamblador	es
at	at	es
ata	ata	es
atime	atime	es
attachment	attachment	es
attempts	attempts	es
attr	attr	es
attribute	atributo	es
attributes	Atributos	es
aux	aux	es
avail	avail	es
available	Disponible	es
b	b	es
ba	ba	es
back	Atrás	es
backend	backend	es
backup	backup	es
bar	Barra	es
base	base	es
be	be	es
bh	bh	es
big	big	es
bind	Víncula	es
bios	bios	es
bit	bit	es
bitmap	bitmap	es
bitmasp	bitmasp	es
bits	bits	es
blksize	blksize	es
block	Bloque	es
blocked	blocked	es
blocking	blocking	es
blocks	Bloques	es
boot	boot	es
bootable	bootable	es
bootloader	bootloader	es
bound	bound	es
bpb	bpb	es
break	break	es
brk	brk	es
broadcast	broadcast	es
buf	buf	es
buffer	buffer	es
buffers	Búferes	es
bufptr	bufptr	es
bus	bus	es
button	Botón	es
buttons	Botones	es
by	by	es
byte	octeto	es
bytes	bytes	es
c	N	es
cache	cache	es
call	llamada	es
candidate	candidate	es
cap	cap	es
capable	capable	es
card	Cartas	es
central	central	es
char	char	es
chdir	chdir	es
check	check	es
checked	checked	es
checksum	Sumadeverificación	es
child	hijo	es
chunk	chunk	es
class	Clase	es
clear	Limpiar	es
cloexec	cloexec	es
clone	clone	es
close	cerrar	es
cluster	cluster	es
cmp	cmp	es
code	code	es
col	col	es
color	color	es
colordepth	colordepth	es
command	Orden	es
commandport	commandport	es
common	común	es
component	component	es
connect	Conectar	es
connected	connected	es
console	consola	es
constant	constante	es
contains	contains	es
contents	Índice	es
control	control	es
controller	controlador	es
coordinate	coordinate	es
copies	copies	es
copy	copiar	es
count	Recuento	es
cow	cow	es
cpu	cpu	es
cpustate	cpustate	es
cpy	cpy	es
cr	cr	es
creat	creat	es
create	crear	es
crtc	crtc	es
cs	cs	es
ctime	ctime	es
cur	cur	es
current	Actual	es
cursor	cursor	es
cylinder	cylinder	es
d	R	es
data	datos	es
databuffer	databuffer	es
datagram	datagram	es
dataport	dataport	es
date	Fecha	es
deactivate	Desactivar	es
deactive	deactive	es
debug	Depurar	es
decrement	decrement	es
default	Predeterminado	es
delete	eliminar	es
delta	delta	es
depth	Profundidad	es
desc	desc	es
descr	descr	es
description	Descripción	es
descriptor	descriptor	es
descriptors	descriptors	es
descsz	descsz	es
destination	Destino	es
destroy	Destruir	es
dev	dev	es
device	Dispositivo	es
diff	diff	es
digits	digits	es
dir	dir	es
directory	directorio	es
dirent	dirent	es
disable	Desactivar	es
discard	Descartar	es
disconnect	Desconectar	es
dispatch	dispatch	es
divide	Dividir	es
divisor	divisor	es
do	do	es
domain	Dominio	es
double	Doble	es
down	Abajo	es
draw	draw	es
drive	drive	es
driver	controlador	es
drivercount	drivercount	es
drivers	drivers	es
drv	drv	es
ds	ds	es
dst	dst	es
dstptr	dstptr	es
dup	dup	es
dword	dword	es
dyn	dyn	es
dynamic	Dinámico	es
e	e	es
eacces	eacces	es
eaddrinuse	eaddrinuse	es
eafnosupport	eafnosupport	es
eagain	eagain	es
eax	eax	es
ebadf	ebadf	es
ebp	ebp	es
ebusy	ebusy	es
ebx	ebx	es
echild	echild	es
echo	echo	es
ecx	ecx	es
edi	edi	es
edx	edx	es
eexist	eexist	es
ef	ef	es
efault	efault	es
efbig	efbig	es
eflags	eflags	es
ehsize	ehsize	es
eintr	eintr	es
einval	einval	es
eio	eio	es
eip	eip	es
eisdir	eisdir	es
elf	elf	es
emfile	emfile	es
empty	Vacío	es
emsgsize	emsgsize	es
enable	Activar	es
enabled	Activado	es
end	Fin	es
enetunreach	enetunreach	es
enfile	enfile	es
enodev	enodev	es
enoent	enoent	es
enoexec	enoexec	es
enomem	enomem	es
enospc	enospc	es
enosys	enosys	es
enotconn	enotconn	es
enotdir	enotdir	es
enotty	enotty	es
ensure	ensure	es
entries	entries	es
entry	entrada	es
entrypoint	entrypoint	es
entsize	entsize	es
environment	environment	es
eopnotsupp	eopnotsupp	es
eperm	eperm	es
ephemeral	ephemeral	es
eprotonosupport	eprotonosupport	es
equal	Igual	es
erange	erange	es
erofs	erofs	es
err	err	es
error	error	es
errorln	errorln	es
es	es	es
esi	esi	es
esp	esp	es
espipe	espipe	es
esrch	esrch	es
ether	ether	es
etherframe	etherframe	es
ethernet	ethernet	es
event	evento	es
events	eventos	es
exceeded	exceeded	es
except	except	es
exception	exception	es
exec	Ejecutar	es
execve	execve	es
exists	exists	es
exit	Salir	es
exited	Salió	es
ext	ext	es
extended	extended	es
f	f	es
family	family	es
fat	fat	es
fatal	fatal	es
fatbuf	fatbuf	es
fatbuffer	fatbuffer	es
fault	fallo	es
fb	fb	es
fcntl	fcntl	es
fd	Descriptor	es
fds	fds	es
field	campo	es
file	archivo	es
filename	Nombredearchivo	es
files	ARCHIVOS	es
filesz	filesz	es
fill	fill	es
find	Buscar	es
first	first	es
fl	fl	es
flag	Bandera	es
flags	Banderas	es
floating	Flotando	es
flush	flush	es
fn	fn	es
focus	Foco	es
focussable	focussable	es
foo	tururú	es
for	for	es
forced	forced	es
fork	fork	es
found	found	es
fp	fp	es
fpu	fpu	es
frame	trama	es
free	Libre	es
frequency	Frecuencia	es
from	desde	es
front	Frontal	es
fs	fs	es
fstat	fstat	es
fsync	fsync	es
fuction	fuction	es
full	Completo	es
func	func	es
function	Función	es
functions	Funciones	es
fxrstor	fxrstor	es
fxsave	fxsave	es
g	g	es
gate	puerta	es
gateway	gateway	es
gb	gb	es
gdt	gdt	es
get	get	es
getcwd	getcwd	es
getegid	getegid	es
geteuid	geteuid	es
getgid	getgid	es
getpid	getpid	es
getppid	getppid	es
getuid	getuid	es
gid	gid	es
global	global	es
got	got	es
gpf	gpf	es
gran	gran	es
graphics	Gráficos	es
grub	grub	es
gs	gs	es
h	h	es
halt	halt	es
handle	Manija	es
handler	handler	es
handlers	handlers	es
hardware	hardware	es
has	has	es
hd	hd	es
head	head	es
header	encabezado	es
headertype	headertype	es
heap	heap	es
height	Altura	es
helper	helper	es
hex	Hexadecimal	es
hex출력	hex출력	es
hi	hi	es
hidden	Ocultar	es
high	Alta	es
hop	hop	es
i	i	es
icmp	icmp	es
icmp콘솔	icmp콘솔	es
id	id	es
ident	ident	es
identify	identify	es
idt	idt	es
idx	idx	es
ifchr	ifchr	es
ifdir	ifdir	es
ifmt	ifmt	es
ifreg	ifreg	es
ifsock	ifsock	es
in	Entrada	es
increment	increment	es
index	Índice	es
inet	inet	es
info	Información	es
init	init	es
initial	initial	es
initialization	initialization	es
initialize	initialize	es
ino	ino	es
inode	Nodoi	es
input	Entrada	es
install	Instalar	es
int	Entero	es
interconnect	interconnect	es
interface	Interfaz	es
internet	internet	es
internetprotocol	internetprotocol	es
interrupt	interrupción	es
interrupts	interrupts	es
invalid	Noválido	es
io	ES	es
iomap	iomap	es
ip	ip	es
ipci	ipci	es
ipmessage	ipmessage	es
ipv	ipv	es
ip콘솔	ip콘솔	es
iret	iret	es
is	is	es
ist	ist	es
j	j	es
jmp	jmp	es
jump	jump	es
k	k	es
kb	kb	es
kcs	kcs	es
kds	kds	es
kernel	núcleo	es
key	Clave	es
keyboard	teclado	es
kgs	kgs	es
kind	Tipo	es
k핵심	k핵심	es
l	l	es
label	etiqueta	es
last	Última	es
lba	lba	es
ldt	ldt	es
left	Izquierda	es
len	len	es
length	Duración	es
lengths	lengths	es
level	level	es
lib	lib	es
lidt	lidt	es
lidtaddr	lidtaddr	es
limit	Limitar	es
line	Línea	es
link	enlace	es
linked	linked	es
linker	linker	es
list	lista	es
listen	listen	es
listening	listening	es
live	live	es
load	cargar	es
loader	loader	es
local	local	es
log	Registro	es
logical	Lógico	es
loop	Bucle	es
low	Baja	es
lseek	lseek	es
lstat	lstat	es
m	m	es
mac	mac	es
machine	machine	es
magicnumber	magicnumber	es
main	principal	es
make	make	es
malloc	malloc	es
manager	gestor	es
map	mapa	es
mask	Máscara	es
master	Maestro	es
matches	matches	es
max	Máx	es
maximum	Máximo	es
mb	mb	es
mbr	mbr	es
media	Soporte	es
mem	mem	es
memory	memoria	es
memorymananger	memorymananger	es
memorytest	memorytest	es
memsz	memsz	es
mesg	mesg	es
message	Mensaje	es
mics	mics	es
mid	mid	es
minimum	Mínimo	es
mode	modo	es
model	Modelo	es
mouse	ratón	es
mousemove	mousemove	es
move	Mover	es
msdospart	msdospart	es
msg	msg	es
mtime	mtime	es
multi	múltiple	es
multiboot	multiboot	es
multitasking	multitasking	es
my	my	es
myfunction	myfunction	es
m긴급로그	m긴급로그	es
m긴급로그문자열	m긴급로그문자열	es
m직렬로그초기화	m직렬로그초기화	es
m출력	m출력	es
m테스트	m테스트	es
n	n	es
name	Nombre	es
namesz	namesz	es
net	net	es
network	red	es
new	Nuevo	es
next	Siguiente	es
nibble	nibble	es
nlink	nlink	es
nmi	nmi	es
node	Nodo	es
nodename	nodename	es
noexec	noexec	es
none	Ninguno	es
normal	normal	es
norw	norw	es
not	not	es
note	Nota	es
nsec	nsec	es
num	num	es
number	Número	es
o	o	es
of	de	es
offset	Desplazamiento	es
ok	Aceptar	es
old	old	es
on	al	es
only	solo	es
opcode	opcode	es
open	abrir	es
oper	oper	es
operation	operación	es
options	Opciones	es
order	order	es
org	org	es
other	Otro	es
out	Salida	es
output	Salida	es
overflow	overflow	es
p	p	es
packet	PAQUETE	es
packets	paquetes	es
paddr	paddr	es
page	página	es
pages	pages	es
paging	paginación	es
param	param	es
parameter	parameter	es
params	Parámetros	es
parent	padre	es
parse	parse	es
part	part	es
partition	partición	es
partitions	partitions	es
path	RUTA	es
pause	Pausa	es
payload	payload	es
pci	pci	es
pde	pde	es
pdelen	pdelen	es
peer	peer	es
pending	pendiente	es
per	per	es
peripheral	peripheral	es
phentsize	phentsize	es
phnum	phnum	es
phoff	phoff	es
phy	phy	es
phyaddr	phyaddr	es
phymem	phymem	es
phys	phys	es
physical	físico	es
pic	pic	es
pid	pid	es
pit	pit	es
pixel	pixel	es
point	point	es
pointer	Puntero	es
pointers	pointers	es
poll	poll	es
port	puerto	es
portnumber	portnumber	es
pos	pos	es
position	Posición	es
posix	posix	es
prefetch	prefetch	es
prefetchable	prefetchable	es
present	Presente	es
prev	prev	es
primary	primary	es
print	Imprimir	es
printf	printf	es
println	println	es
printreg	printreg	es
priv	priv	es
private	Privado	es
privilege	privilege	es
proc	proc	es
process	proceso	es
processes	Procesos	es
processing	processing	es
program	programa	es
programmable	programmable	es
protocol	protocol	es
provided	provided	es
provider	provider	es
ps	ps	es
pt	pt	es
pte	pte	es
ptr	ptr	es
push	push	es
put	put	es
pv	Vp	es
queue	cola	es
r	r	es
range	Intervalo	es
raw	raw	es
rdev	rdev	es
read	leer	es
ready	Preparado	es
receive	receive	es
received	Recibidos	es
receiver	receiver	es
receviced	receviced	es
record	Grabar	es
rectangle	Rectángulo	es
recv	recv	es
ref	ref	es
refs	refs	es
reg	reg	es
region	region	es
register	registro	es
registeroffset	registeroffset	es
registers	registers	es
regs	regs	es
regtype	regtype	es
rel	rel	es
rela	rela	es
release	release	es
released	released	es
reload	Recargar	es
relocation	relocation	es
remaining	remaining	es
remote	Remoto	es
remove	Eliminar	es
reply	reply	es
request	request	es
requested	requested	es
reserved	Reservado	es
reset	Reiniciar	es
resolve	resolver	es
restore	Restaurar	es
result	RESULTADO	es
ret	ret	es
revision	revision	es
rgb	RVARGB	es
right	Derecha	es
root	Raíz	es
round	Redondear	es
route	route	es
rs	rs	es
rt	rt	es
run	Ejecutar	es
runnable	runnable	es
rx	rx	es
s	s	es
saved	Guardado	es
sc	sc	es
scan	Inspeccionar	es
scancode	scancode	es
sche	sche	es
schedule	schedule	es
scheduler	planificador	es
screen	Pantalla	es
secondary	secondary	es
sect	sect	es
section	sección	es
sector	sector	es
sectors	sectors	es
seek	seek	es
seg	seg	es
segment	segment	es
segments	Segmentos	es
select	Seleccionar	es
selector	selector	es
self	propio	es
send	Enviar	es
sequencer	sequencer	es
serial	serie	es
set	establecer	es
setup	setup	es
sh	sh	es
shared	shared	es
shentsize	shentsize	es
shift	Mayús	es
shndx	shndx	es
shnum	shnum	es
shoff	shoff	es
shstrndx	shstrndx	es
signature	signature	es
simd	simd	es
size	Tamaño	es
sl	sl	es
slave	slave	es
sock	sock	es
socket	conectorRed	es
socketcall	socketcall	es
sockets	sockets	es
soft	soft	es
software	software	es
source	Origen	es
space	Espacio	es
spawn	spawn	es
src	src	es
srcptr	srcptr	es
ss	ss	es
st	st	es
stack	stack	es
stackbottom	stackbottom	es
stacktop	stacktop	es
start	Iniciar	es
started	Iniciado	es
starting	starting	es
stat	stat	es
state	Estado	es
status	Estado	es
stderr	stderr	es
stdin	stdin	es
stdout	stdout	es
stop	Detener	es
stopped	Parado	es
str	str	es
string	Cadena	es
strtab	strtab	es
subclass	subclass	es
subnet	subnet	es
support	Detalle	es
swap	Intercambio	es
switch	switch	es
sym	sym	es
sync	sync	es
sys	sys	es
syscall	syscall	es
sysname	sysname	es
system	sistema	es
systemcall	systemcall	es
t	t	es
