english	localized	language
a	a	am
access	መድረሻ	am
ack	ack	am
activate	ማስጀመሪያ	am
active	አሰራ	am
add	መጨመሪያ	am
addend	addend	am
addr	addr	am
addralign	addralign	am
address	address	am
advanced	ጠለቅ	am
af	af	am
after	after	am
align	ማሰለፊያ	am
aligned	aligned	am
alignment	alignment	am
all	ሁሉንም	am
alloc	alloc	am
allocate	allocate	am
allocated	allocated	am
am	am	am
amd	amd	am
amount	amount	am
and	and	am
append	append	am
args	args	am
argument	argument	am
arguments	arguments	am
arp	arp	am
arp콘솔	arp콘솔	am
array	ማዘጋጃ	am
assembly	assembly	am
at	at	am
ata	ata	am
atime	atime	am
attachment	attachment	am
attempts	attempts	am
attr	attr	am
attribute	መለያ	am
attributes	attributes	am
aux	aux	am
avail	avail	am
available	ዝግጁ	am
b	ቢ	am
ba	ba	am
back	ወደኋላ	am
backend	backend	am
backup	backup	am
bar	መደርደሪያ	am
base	base	am
be	be	am
bh	bh	am
big	big	am
bind	bind	am
bios	bios	am
bit	bit	am
bitmap	bitmap	am
bitmasp	bitmasp	am
bits	ቢትስ	am
blksize	blksize	am
block	መከልከያ	am
blocked	blocked	am
blocking	blocking	am
blocks	blocks	am
boot	boot	am
bootable	bootable	am
bootloader	bootloader	am
bound	bound	am
bpb	bpb	am
break	break	am
brk	brk	am
broadcast	broadcast	am
buf	buf	am
buffer	buffer	am
buffers	buffers	am
bufptr	bufptr	am
bus	bus	am
button	button	am
buttons	buttons	am
by	by	am
byte	byte	am
bytes	ባይትስ	am
c	ሴ	am
cache	cache	am
call	call	am
candidate	candidate	am
cap	cap	am
capable	capable	am
card	card	am
central	central	am
char	char	am
chdir	chdir	am
check	check	am
checked	checked	am
checksum	checksum	am
child	ልጅ	am
chunk	chunk	am
class	መደብ	am
clear	ማጽጃ	am
cloexec	cloexec	am
clone	clone	am
close	መዝጊያ	am
cluster	cluster	am
cmp	cmp	am
code	code	am
col	col	am
color	color	am
colordepth	colordepth	am
command	ትእዛዝ	am
commandport	commandport	am
common	common	am
component	component	am
connect	መገናኛ	am
connected	connected	am
console	console	am
constant	constant	am
contains	contains	am
contents	ይዞታዎች	am
control	control	am
controller	controller	am
coordinate	coordinate	am
copies	copies	am
copy	ኮፒ	am
count	count	am
cow	cow	am
cpu	cpu	am
cpustate	cpustate	am
cpy	cpy	am
cr	cr	am
creat	creat	am
create	create	am
crtc	crtc	am
cs	cs	am
ctime	ctime	am
cur	cur	am
current	current	am
cursor	cursor	am
cylinder	cylinder	am
d	d	am
data	data	am
databuffer	databuffer	am
datagram	datagram	am
dataport	dataport	am
date	ቀን	am
deactivate	አታስጀምር	am
deactive	deactive	am
debug	debug	am
decrement	decrement	am
default	ነባር	am
delete	ማጥፊያ	am
delta	delta	am
depth	depth	am
desc	desc	am
descr	descr	am
description	መግለጫ	am
descriptor	descriptor	am
descriptors	descriptors	am
descsz	descsz	am
destination	destination	am
destroy	አጥፋ	am
dev	dev	am
device	ዲቫይስ	am
diff	diff	am
digits	digits	am
dir	dir	am
directory	ዳይሬክቶሪ	am
dirent	dirent	am
disable	አበላሽ	am
discard	discard	am
disconnect	መለያያ	am
dispatch	dispatch	am
divide	divide	am
divisor	divisor	am
do	do	am
domain	ዶሜን	am
double	double	am
down	ወደታች	am
draw	draw	am
drive	drive	am
driver	driver	am
drivercount	drivercount	am
drivers	drivers	am
drv	drv	am
ds	ds	am
dst	dst	am
dstptr	dstptr	am
dup	dup	am
dword	dword	am
dyn	dyn	am
dynamic	dynamic	am
e	e	am
eacces	eacces	am
eaddrinuse	eaddrinuse	am
eafnosupport	eafnosupport	am
eagain	eagain	am
eax	eax	am
ebadf	ebadf	am
ebp	ebp	am
ebusy	ebusy	am
ebx	ebx	am
echild	echild	am
echo	echo	am
ecx	ecx	am
edi	edi	am
edx	edx	am
eexist	eexist	am
ef	ef	am
efault	efault	am
efbig	efbig	am
eflags	eflags	am
ehsize	ehsize	am
eintr	eintr	am
einval	einval	am
eio	eio	am
eip	eip	am
eisdir	eisdir	am
elf	elf	am
emfile	emfile	am
empty	ባዶ	am
emsgsize	emsgsize	am
enable	አስቻለ	am
enabled	ያስችላል	am
end	መጨረሻ	am
enetunreach	enetunreach	am
enfile	enfile	am
enodev	enodev	am
enoent	enoent	am
enoexec	enoexec	am
enomem	enomem	am
enospc	enospc	am
enosys	enosys	am
enotconn	enotconn	am
enotdir	enotdir	am
enotty	enotty	am
ensure	ensure	am
entries	entries	am
entry	entry	am
entrypoint	entrypoint	am
entsize	entsize	am
environment	environment	am
eopnotsupp	eopnotsupp	am
eperm	eperm	am
ephemeral	ephemeral	am
eprotonosupport	eprotonosupport	am
equal	equal	am
erange	erange	am
erofs	erofs	am
err	err	am
error	ስህተት	am
errorln	errorln	am
es	es	am
esi	esi	am
esp	esp	am
espipe	espipe	am
esrch	esrch	am
ether	ether	am
etherframe	etherframe	am
ethernet	ethernet	am
event	event	am
events	events	am
exceeded	exceeded	am
except	except	am
exception	exception	am
exec	exec	am
execve	execve	am
exists	exists	am
exit	ውጣ	am
exited	ወጥቷል	am
ext	ext	am
extended	extended	am
f	ፋ	am
family	family	am
fat	fat	am
fatal	fatal	am
fatbuf	fatbuf	am
fatbuffer	fatbuffer	am
fault	fault	am
fb	fb	am
fcntl	fcntl	am
fd	fd	am
fds	fds	am
field	field	am
file	ፋይል	am
filename	የፋይልስም	am
files	files	am
filesz	filesz	am
fill	fill	am
find	መፈለጊያ	am
first	first	am
fl	fl	am
flag	ባንዲራ	am
flags	ባንዲራዎች	am
floating	ተንሳፋፊ	am
flush	flush	am
fn	fn	am
focus	focus	am
focussable	focussable	am
foo	foo	am
for	for	am
forced	forced	am
fork	fork	am
found	found	am
fp	fp	am
fpu	fpu	am
frame	ክፈፍ	am
free	ነፃ	am
frequency	ተደጋጋሚነት	am
from	from	am
front	የፊት	am
fs	fs	am
fstat	fstat	am
fsync	fsync	am
fuction	fuction	am
full	ሙሉ	am
func	func	am
function	function	am
functions	functions	am
fxrstor	fxrstor	am
fxsave	fxsave	am
g	g	am
gate	gate	am
gateway	gateway	am
gb	gb	am
gdt	gdt	am
get	get	am
getcwd	getcwd	am
getegid	getegid	am
geteuid	geteuid	am
getgid	getgid	am
getpid	getpid	am
getppid	getppid	am
getuid	getuid	am
gid	gid	am
global	አለምአቀፍ	am
got	got	am
gpf	gpf	am
gran	gran	am
graphics	ንድፎች	am
grub	grub	am
gs	gs	am
h	h	am
halt	halt	am
handle	handle	am
handler	handler	am
handlers	handlers	am
hardware	ጠንካራአካል	am
has	has	am
hd	hd	am
head	head	am
header	header	am
headertype	headertype	am
heap	heap	am
height	እርዝመት	am
helper	helper	am
hex	hex	am
hex출력	hex출력	am
hi	hi	am
hidden	ድብቅ	am
high	ከፍተኛ	am
hop	hop	am
i	i	am
icmp	icmp	am
icmp콘솔	icmp콘솔	am
id	መለያ	am
ident	ident	am
identify	identify	am
idt	idt	am
idx	idx	am
ifchr	ifchr	am
ifdir	ifdir	am
ifmt	ifmt	am
ifreg	ifreg	am
ifsock	ifsock	am
in	ውስጥ	am
increment	increment	am
index	ማውጫ	am
inet	inet	am
info	መረጃ	am
init	init	am
initial	initial	am
initialization	initialization	am
initialize	initialize	am
ino	ino	am
inode	inode	am
input	ማስገቢያ	am
install	መግጠም	am
int	int	am
interconnect	interconnect	am
interface	ገጽታ	am
internet	ኢንተርኔት	am
internetprotocol	internetprotocol	am
interrupt	ማቋረጫ	am
interrupts	interrupts	am
invalid	የማይሰራ	am
io	io	am
iomap	iomap	am
ip	ip	am
ipci	ipci	am
ipmessage	ipmessage	am
ipv	ipv	am
ip콘솔	ip콘솔	am
iret	iret	am
is	is	am
ist	ist	am
j	j	am
jmp	jmp	am
jump	jump	am
k	ኬ	am
kb	ኪቢ	am
kcs	kcs	am
kds	kds	am
kernel	kernel	am
key	ቁልፍ	am
keyboard	የፊደልሠሌዳ	am
kgs	kgs	am
kind	kind	am
k핵심	k핵심	am
l	l	am
label	ምልክት	am
last	last	am
lba	lba	am
ldt	ldt	am
left	ግራ	am
len	len	am
length	እርዝመት	am
lengths	lengths	am
level	level	am
lib	lib	am
lidt	lidt	am
lidtaddr	lidtaddr	am
limit	ገደብ	am
line	line	am
link	አገናኝ	am
linked	linked	am
linker	linker	am
list	ዝርዝር	am
listen	listen	am
listening	listening	am
live	live	am
load	መጫኛ	am
loader	loader	am
local	አካባቢ	am
log	log	am
logical	logical	am
loop	loop	am
low	ዝቅተኛ	am
lseek	lseek	am
lstat	lstat	am
m	ሜ	am
mac	mac	am
machine	machine	am
magicnumber	magicnumber	am
main	ዋና	am
make	make	am
malloc	malloc	am
manager	manager	am
map	map	am
mask	mask	am
master	ዋናው	am
matches	matches	am
max	max	am
maximum	ከፍተኛ	am
mb	ሚሊባር	am
mbr	mbr	am
media	መገናኛ	am
mem	mem	am
memory	ማስታወሻ	am
memorymananger	memorymananger	am
memorytest	memorytest	am
memsz	memsz	am
mesg	mesg	am
message	መልእክት	am
mics	mics	am
mid	mid	am
minimum	አነስተኛ	am
mode	ዘዴ	am
model	አይነቱ	am
mouse	አይጥ	am
mousemove	mousemove	am
move	መንቀሳቅስ	am
msdospart	msdospart	am
msg	msg	am
mtime	mtime	am
multi	multi	am
multiboot	multiboot	am
multitasking	multitasking	am
my	my	am
myfunction	myfunction	am
m긴급로그	m긴급로그	am
m긴급로그문자열	m긴급로그문자열	am
m직렬로그초기화	m직렬로그초기화	am
m출력	m출력	am
m테스트	m테스트	am
n	n	am
name	ስም	am
namesz	namesz	am
net	net	am
network	ኔትዎርክ	am
new	አዲስ	am
next	የሚቀጥለው	am
nibble	nibble	am
nlink	nlink	am
nmi	nmi	am
node	node	am
nodename	nodename	am
noexec	noexec	am
none	ምንም	am
normal	መደበኛ	am
norw	norw	am
not	not	am
note	ማስታወሻ	am
nsec	nsec	am
num	num	am
number	ቁጥር	am
o	o	am
of	ከ	am
offset	offset	am
ok	እሺ	am
old	old	am
on	ማብሪያ	am
only	only	am
opcode	opcode	am
open	መክፈቻ	am
oper	oper	am
operation	operation	am
options	ምርጫዎች	am
order	order	am
org	org	am
other	ሌላ	am
out	ውጪ	am
output	ውጤት	am
overflow	overflow	am
p	p	am
packet	packet	am
packets	packets	am
paddr	paddr	am
page	ገጽ	am
pages	ገጾች	am
paging	paging	am
param	param	am
parameter	parameter	am
params	params	am
parent	ወላጅ	am
parse	parse	am
part	part	am
partition	partition	am
partitions	partitions	am
path	መተላለፊያ	am
pause	pause	am
payload	payload	am
pci	pci	am
pde	pde	am
pdelen	pdelen	am
peer	peer	am
pending	pending	am
per	per	am
peripheral	peripheral	am
phentsize	phentsize	am
phnum	phnum	am
phoff	phoff	am
phy	phy	am
phyaddr	phyaddr	am
phymem	phymem	am
phys	phys	am
physical	physical	am
pic	pic	am
pid	pid	am
pit	pit	am
pixel	pixel	am
point	point	am
pointer	ጠቋሚ	am
pointers	pointers	am
poll	poll	am
port	port	am
portnumber	portnumber	am
pos	pos	am
position	አካባቢ	am
posix	posix	am
prefetch	prefetch	am
prefetchable	prefetchable	am
present	አሁን	am
prev	prev	am
primary	primary	am
print	ማተሚያ	am
printf	printf	am
println	println	am
printreg	printreg	am
priv	priv	am
private	private	am
privilege	privilege	am
proc	proc	am
process	ሂደቶች	am
processes	ሂደቶች	am
processing	processing	am
program	ፕሮግራም	am
programmable	programmable	am
protocol	protocol	am
provided	provided	am
provider	provider	am
ps	ps	am
pt	pt	am
pte	pte	am
ptr	ptr	am
push	push	am
put	put	am
pv	pv	am
queue	queue	am
r	r	am
range	መጠን	am
raw	raw	am
rdev	rdev	am
read	ማንበቢያ	am
ready	ዝግጁ	am
receive	receive	am
received	received	am
receiver	receiver	am
receviced	receviced	am
record	መቅረጫ	am
rectangle	rectangle	am
recv	recv	am
ref	ref	am
refs	refs	am
reg	reg	am
region	region	am
register	register	am
registeroffset	registeroffset	am
registers	registers	am
regs	regs	am
regtype	regtype	am
rel	rel	am
rela	rela	am
release	release	am
released	released	am
reload	እንደገናመጫኛ	am
relocation	relocation	am
remaining	remaining	am
